beta,gama,rx,ry
2.381205,1.859651,0.421688,0.547302
1.607092,1.591397,0.241892,0.498630
1.465583,0.939093,0.226547,0.609529
1.966952,2.533677,0.367475,0.373755
1.380515,0.213763,0.311080,0.714028
1.260729,0.755011,0.179980,0.593427
1.695483,0.908861,0.312508,0.662447
0.571455,0.647938,0.068964,0.379428
2.338703,2.181549,0.392168,0.476838
1.606550,1.588508,0.241676,0.498853
1.546873,0.514691,0.321535,0.702807
2.230236,1.761892,0.390156,0.557594
0.730522,1.125124,0.114583,0.344343
1.743224,0.395757,0.439347,0.733489
1.857050,1.184037,0.334133,0.634273
1.674163,2.260237,0.309551,0.381746
1.319921,2.350345,0.313100,0.318975
0.916555,0.982826,0.109480,0.433255
2.547337,2.577170,0.423070,0.408047
2.198846,1.314188,0.440784,0.639715
0.466480,0.771801,0.081927,0.318689
2.082625,2.616516,0.385642,0.370371
1.245307,1.471606,0.178917,0.433812
1.387187,1.166559,0.192177,0.538588
2.074055,2.290920,0.353301,0.428868
1.494113,0.454684,0.310435,0.702671
2.384057,2.359867,0.398934,0.442794
1.925250,1.982289,0.314255,0.472870
2.283419,2.298727,0.382774,0.447841
1.862893,1.981123,0.303349,0.463536
1.718986,2.754961,0.394644,0.325915
1.483701,0.392472,0.319086,0.709590
1.770109,1.033230,0.323250,0.650581
2.034395,2.399660,0.357593,0.403791
2.196696,1.689183,0.387676,0.569566
1.520753,1.018681,0.237228,0.605568
1.525749,0.950821,0.245590,0.621407
2.132137,1.202067,0.435051,0.655188
1.240151,2.151293,0.274759,0.325810
1.183668,2.216915,0.287766,0.309956
1.903895,2.795102,0.405048,0.334101
1.280224,1.701167,0.205830,0.399174
1.972663,2.875568,0.420543,0.328877
2.045073,2.021365,0.337316,0.481097
0.830945,1.656337,0.192888,0.295013
1.282910,1.210883,0.170250,0.499602
0.992715,0.957041,0.116798,0.464161
1.967263,1.473264,0.338848,0.590196
2.138898,2.330302,0.363937,0.428059
1.995134,2.061418,0.329193,0.466223
1.416722,2.198456,0.286255,0.350252
1.191750,0.005521,0.273256,0.701448
1.003985,0.581128,0.124039,0.549608
1.505900,2.331890,0.312435,0.347420
1.552755,1.721928,0.238564,0.458898
1.976822,1.110479,0.390947,0.661043
1.343691,0.961693,0.188807,0.572385
0.482094,0.756371,0.079292,0.326926
1.916979,1.671450,0.311919,0.539466
1.511834,1.435081,0.219742,0.510990
2.191558,1.672870,0.387534,0.572677
2.415050,2.524475,0.406607,0.411165
1.549298,1.182861,0.233821,0.576354
1.611811,0.886078,0.284192,0.651926
1.048571,0.744126,0.126626,0.529095
1.294593,0.674625,0.197803,0.620160
0.754917,0.259934,0.091571,0.528309
1.867967,1.698959,0.299413,0.525573
1.621076,2.663402,0.375517,0.326309
1.206876,2.694915,0.385091,0.291246
1.854496,1.210316,0.330032,0.628813
0.584772,0.969528,0.099295,0.324082
1.696324,1.429969,0.262987,0.553629
2.068240,2.327384,0.355185,0.420994
1.077986,0.844151,0.130260,0.516691
1.632972,0.957675,0.282113,0.641872
1.273792,1.417694,0.177959,0.452789
1.228134,0.590980,0.186259,0.618231
0.584646,0.280251,0.063669,0.459841
1.222720,1.862130,0.224657,0.359399
2.334120,2.048491,0.395885,0.504898
1.110014,1.482530,0.168156,0.394345
1.070740,0.215208,0.184802,0.642611
1.550597,0.214779,0.390563,0.735075
1.593508,2.538909,0.352119,0.335206
1.126007,0.057381,0.234544,0.680858
2.150212,2.458949,0.374694,0.404136
2.317918,1.660094,0.427014,0.583256
1.986241,2.055131,0.327601,0.466455
1.082852,0.693229,0.136148,0.551746
0.295514,0.539832,0.068211,0.300666
1.443970,2.779612,0.398869,0.306280
1.101870,1.293451,0.148972,0.428500
1.557798,0.718633,0.288640,0.672513
1.351726,2.172034,0.279615,0.342451
0.139662,0.221096,0.054645,0.302717
0.885344,0.188914,0.129752,0.588719
0.778361,0.170722,0.104146,0.554862
0.608261,0.630719,0.069785,0.396262
1.195841,0.150961,0.244181,0.684933
1.225718,2.263847,0.296436,0.312231
2.046440,2.362783,0.355530,0.411957
1.731786,1.735355,0.270311,0.492859
0.929124,0.021479,0.167736,0.632049
2.354935,2.584964,0.403960,0.395864
2.594233,2.827209,0.437000,0.361414
1.529344,1.677822,0.231855,0.462772
0.595092,0.776058,0.079130,0.362981
1.900054,1.147500,0.354971,0.646611
0.633371,0.186534,0.074211,0.498150
0.995759,1.419328,0.154932,0.373288
1.911648,2.351562,0.340710,0.398532
0.544414,0.125668,0.064818,0.476344
